Timestamp,PVSystem.mypv__A1 [kVA],PVSystem.mypv__B1 [kVA],PVSystem.mypv__C1 [kVA]
2020-01-01 00:00:00,-0j,(-0+0j),0j
2020-01-01 00:15:00,-0j,(-0+0j),0j
2020-01-01 00:30:00,-0j,(-0+0j),0j
2020-01-01 00:45:00,-0j,(-0+0j),0j
2020-01-01 01:00:00,-0j,(-0+0j),0j
2020-01-01 01:15:00,-0j,(-0+0j),0j
2020-01-01 01:30:00,-0j,(-0+0j),0j
2020-01-01 01:45:00,-0j,(-0+0j),0j
2020-01-01 02:00:00,-0j,(-0+0j),0j
2020-01-01 02:15:00,-0j,(-0+0j),0j
2020-01-01 02:30:00,-0j,(-0+0j),0j
2020-01-01 02:45:00,-0j,(-0+0j),0j
2020-01-01 03:00:00,-0j,(-0+0j),0j
2020-01-01 03:15:00,-0j,(-0+0j),0j
2020-01-01 03:30:00,-0j,(-0+0j),0j
2020-01-01 03:45:00,-0j,(-0+0j),0j
2020-01-01 04:00:00,-0j,(-0+0j),0j
2020-01-01 04:15:00,-0j,(-0+0j),0j
2020-01-01 04:30:00,-0j,(-0+0j),0j
2020-01-01 04:45:00,-0j,(-0+0j),0j
2020-01-01 05:00:00,-0j,(-0+0j),0j
2020-01-01 05:15:00,-0j,(-0+0j),0j
2020-01-01 05:30:00,-0j,(-0+0j),0j
2020-01-01 05:45:00,-0j,(-0+0j),0j
2020-01-01 06:00:00,-0j,(-0+0j),0j
2020-01-01 06:15:00,-0j,(-0+0j),0j
2020-01-01 06:30:00,-0j,(-0+0j),0j
2020-01-01 06:45:00,-0j,(-0+0j),0j
2020-01-01 07:00:00,-0j,(-0+0j),0j
2020-01-01 07:15:00,-0j,(-0+0j),0j
2020-01-01 07:30:00,(-63.28977523623403+0.9111999900921883j),(-63.7536140799151-0.4731542244277625j),(-63.44567019952688-0.44341312017801465j)
2020-01-01 07:45:00,(-68.1845860217944+0.9819346410390695j),(-68.68603405911749-0.5056027366426934j),(-68.35329496031348-0.477004886136885j)
2020-01-01 08:00:00,(-84.72668465102922+1.2113633197825076j),(-85.34667476679466-0.6237472788695304j),(-84.92390882576524-0.5904220846355601j)
2020-01-01 08:15:00,(-100.04417964914421+1.4213997894788344j),(-100.77245540514687-0.7307664842315426j),(-100.26333615985467-0.6937000131039677j)
2020-01-01 08:30:00,(-87.37898337162828+1.2492750308554759j),(-88.017069051948-0.6406494663415288j),(-87.5799650118935-0.6064289925789562j)
2020-01-01 08:45:00,(-126.95269578919526+1.9764497485553802j),(-128.38494929918585-1.0055133334788042j),(-127.45748279061486-0.970166561344784j)
2020-01-01 09:00:00,(-71.50250872604774+1.1365336573456535j),(-72.31825189161087-0.5812613673375272j),(-71.82194330013303-0.5548619092848931j)
2020-01-01 09:15:00,(-137.76838394567608+2.1366861990703825j),(-139.32166656329758-1.0864371187201105j),(-138.30388376065767-1.0508830554635715j)
2020-01-01 09:30:00,(-144.92063507678048+2.39032044904934j),(-146.00974903112095-1.2277647665267868j),(-144.74126218748611-1.1708281888556593j)
2020-01-01 09:45:00,(-169.05512408638725+2.759203500753684j),(-170.2968303830541-1.4114891204486921j),(-168.80262425916317-1.3466311841121497j)
2020-01-01 10:00:00,(-197.900287260162+3.193904701046351j),(-199.3351454493241-1.6303180254151812j),(-197.55324701775302-1.5618699585124267j)
2020-01-01 10:15:00,(-167.6153279983249+2.734721651054708j),(-168.8432773883549-1.4008896776081674j),(-167.36548882061155-1.335344799050057j)
2020-01-01 10:30:00,(-154.93580696017597+2.5411174487216956j),(-156.07844635319674-1.3022537222848913j),(-154.72322693405016-1.2394041827305482j)
2020-01-01 10:45:00,(-83.48816771788101+1.4802831569762624j),(-84.36763947305052-0.784950680726106j),(-83.54946202927222-0.7476880252418414j)
2020-01-01 11:00:00,(-125.72482319310063+2.2137614063527953j),(-127.02532409635431-1.1380175457298902j),(-125.76606803101586-1.08841793386449j)
2020-01-01 11:15:00,(-65.69235999262474+1.1866341153521056j),(-66.38282295126098-0.6046856151105858j),(-65.74930364749075-0.5728086112637102j)
2020-01-01 11:30:00,(-228.55013063615058+4.0855912713773535j),(-231.43067668383296-2.0727168325611856j),(-228.7178084187026-2.033911052243333j)
2020-01-01 11:45:00,(-123.90461026841702+2.3099964563022466j),(-125.50692913547093-1.163847922709465j),(-124.11078875611344-1.1222102925439903j)
2020-01-01 12:00:00,(-223.68166643929175+4.003048459956723j),(-226.51228319231828-2.0422411047537317j),(-223.85509850995518-2.0013346382240416j)
2020-01-01 12:15:00,(-212.6624069143028+3.8310696959401076j),(-215.35196121046792-1.9358552525946724j),(-212.84402650208312-1.8911284064784122j)
2020-01-01 12:30:00,(-199.39736236508128+3.609674204100519j),(-201.92853695952115-1.8250838151477946j),(-199.5921113439694-1.7797460685169209j)
2020-01-01 12:45:00,(-179.21751984714336+3.2541993754848146j),(-181.4673226599845-1.6488189750815945j),(-179.4063262255053-1.6020932147283893j)
2020-01-01 13:00:00,(-229.01310373769908+4.077474113388602j),(-231.85204422228765-2.0709953933153593j),(-229.1516895813963-2.0276249777469784j)
2020-01-01 13:15:00,(-65.69148312830117+1.2498937994761572j),(-66.14271345147857-0.6492366178397824j),(-65.42197269259997-0.612126349803766j)
2020-01-01 13:30:00,(-106.86293448567835+1.9873814411874209j),(-107.53898447489799-1.0324788099288416j),(-106.36286212463187-0.9731620236792005j)
2020-01-01 13:45:00,(-78.5923257018552+1.4825081564928364j),(-79.0954484017064-0.7610575792122399j),(-78.24424400077643-0.7142404729284862j)
2020-01-01 14:00:00,(-75.1147856199577+1.4171836545633887j),(-75.59771302633473-0.7305318154905908j),(-74.78506158338857-0.6857458494753373j)
2020-01-01 14:15:00,(-106.24534152885711+1.978048518752646j),(-106.91626613810465-1.0240228577567614j),(-105.7484244647008-0.9648670111255487j)
2020-01-01 14:30:00,(-182.04778975133627+3.286500145277163j),(-183.14332474001299-1.7082629017333384j),(-181.06861949323115-1.6230945479617367j)
2020-01-01 14:45:00,(-166.21341012912342+3.0657184686519297j),(-167.3035187751314-1.5636713909617392j),(-165.38544357507016-1.4840770602523845j)
2020-01-01 15:00:00,(-151.87864997980773+2.814238877299791j),(-152.88577061451977-1.441211841469907j),(-151.14277093662534-1.36607609690557j)
2020-01-01 15:15:00,(-147.3735497914828+2.7341797506644014j),(-148.35432615914232-1.4027681989299017j),(-146.6660321373208-1.3292827364572148j)
2020-01-01 15:30:00,(-161.66909075172177+3.0118860826543497j),(-162.81566761224187-1.5425140026403532j),(-160.9129312558611-1.4674394078566402j)
2020-01-01 15:45:00,(-149.17855997841323+2.7935594952282146j),(-150.24432030180247-1.429824733669113j),(-148.49773904992216-1.3579874894572057j)
2020-01-01 16:00:00,(-59.92316925539644+1.1636684658043264j),(-60.37180876654571-0.5912693603759035j),(-59.69947251681528-0.5557529166841887j)
2020-01-01 16:15:00,(-103.94010891563718+1.974870518243667j),(-104.70598398474621-1.0217107780973311j),(-103.51182113608435-0.9672036869520525j)
2020-01-01 16:30:00,(-95.94988181451416+1.8324454116877422j),(-96.65760972346578-0.9410073643208962j),(-95.56057523014752-0.8891398736035481j)
2020-01-01 16:45:00,(-103.52226650153929+1.9724317293821678j),(-104.28879428209676-1.0144096402273572j),(-103.0980330641643-0.959732717775878j)
2020-01-01 17:00:00,(-75.27466782493214+1.4513856560089966j),(-75.83993639090838-0.743654854175249j),(-74.98589582557057-0.7011330185369224j)
2020-01-01 17:15:00,(-69.54820634466789+1.342601432723165j),(-70.07308975594057-0.6904132751570141j),(-69.28566164964644-0.6509013329657537j)
2020-01-01 17:30:00,-0j,(-0+0j),0j
2020-01-01 17:45:00,-0j,(-0+0j),0j
2020-01-01 18:00:00,-0j,(-0+0j),0j
2020-01-01 18:15:00,-0j,(-0+0j),0j
2020-01-01 18:30:00,-0j,(-0+0j),0j
2020-01-01 18:45:00,-0j,(-0+0j),0j
2020-01-01 19:00:00,-0j,(-0+0j),0j
2020-01-01 19:15:00,-0j,(-0+0j),0j
2020-01-01 19:30:00,-0j,(-0+0j),0j
2020-01-01 19:45:00,-0j,(-0+0j),0j
2020-01-01 20:00:00,-0j,(-0+0j),0j
2020-01-01 20:15:00,-0j,(-0+0j),0j
2020-01-01 20:30:00,-0j,(-0+0j),0j
2020-01-01 20:45:00,-0j,(-0+0j),0j
2020-01-01 21:00:00,-0j,(-0+0j),0j
2020-01-01 21:15:00,-0j,(-0+0j),0j
2020-01-01 21:30:00,-0j,(-0+0j),0j
2020-01-01 21:45:00,-0j,(-0+0j),0j
2020-01-01 22:00:00,-0j,(-0+0j),0j
2020-01-01 22:15:00,-0j,(-0+0j),0j
2020-01-01 22:30:00,-0j,(-0+0j),0j
2020-01-01 22:45:00,-0j,(-0+0j),0j
2020-01-01 23:00:00,-0j,(-0+0j),0j
2020-01-01 23:15:00,-0j,(-0+0j),0j
2020-01-01 23:30:00,-0j,(-0+0j),0j
2020-01-01 23:45:00,-0j,(-0+0j),0j
